Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A DIGITAL HUMANITIES APPROACH TO FILM COLORS.","FLUECKIGER, BARBARA","Moving Image (15323978)",="15323978",,="Fall2017","17","2","71","24","131179190","10.5749/movingimage.17.2.0071","University of Minnesota Press","Article","COLORS in motion pictures; COLOR in visual communication; AESTHETICS of motion pictures; DIGITAL humanities; FECHNER, Gustav Theodor, 1801-1887",,"The article offers insight into the state of research in computer-assisted film color analysis and applications that are either available or in development. It mentions that the database-driven analysis of film color aesthetics, their affective qualities, and their narrative functions aim to identify diachronic aesthetic patterns. It also mentions that the planned computer-assisted tool for analyzing film colors derives has been derived by Gustav Theodor Fechner.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=131179190&site=ehost-live"
"A Field Guide to Artificial Nature(s); Or, the Evolving Literary Ecology of the Temporary Autonomous Zone.","Swanstrom, Lisa","Journal of New Frontiers in Spatial Concepts",="18686648",,="2018","10",,"52","3","133573768",,"KIT Scientific Publishing","Article","DIGITAL humanities; ECOLOGY; ARCHITECTURAL design","Digital humanities; ecology; landscape; literature; nature","'The Literary Field Guide' analyzes any. txtfile and provides a breakdown of the text's weather, climate, geographic features, flora, and fauna, in the style of a U.S. National Park Service brochure. As a teaching tool, the Guide creates a site and sense of engagement between the viewer and a complex literary ecology. As a provocation, it creates data visualizations of literary landscapes in hopes of calling attention to the artificial and constructed natures of all such visualizations. [ABSTRACT FROM AUTHOR] Copyright of Journal of New Frontiers in Spatial Concepts is the property of KIT Scientific Publishing and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=133573768&site=ehost-live"
"A Fresh Look at Copyright on Campus.","Rooksby, Jacob H.","Missouri Law Review",="00266604",,="Summer2016","81","3","769","42","120451636",,"University of Missouri at Columbia, School of Law","Article","COPYRIGHT; COLLEGE campuses; HIGHER education; DIGITAL humanities; COMMONS",,"The role of copyright on the modern college and university campus is overdue for fresh examination. Copyright ownership issues and related contests over rights risk impeding higher education's ability to serve as a cultural and knowledge commons, a specially constructed space where human and artifactual resources interact in ways that benefit society at large. At present, copyright concerns raised by trends involving student entrepreneurship, the digital humanities, and the digitization of special collections material housed in campus libraries threaten higher education's potential to benefit society to the fullest. This Article reviews developments in these three areas of higher education through the lens of copyright, examining, in particular, the copyright ownership - as opposed to use - questions they present. In these emerging contexts, institutional claims to copyright often work to the detriment of students, faculty, and the public. Also harmful are campus copyright policies that are ambiguously worded or inappropriately purport to vest ownership interests in colleges and universities. Resolving these copyright concerns developing in higher education will require amending copyright law and corresponding campus copyright policies. This Article proposes three solutions, each of which would better align applicable laws with our moral expectations for higher education: (1) creating a legal presumption that students own all of the works that they create while students, (2) creating a legal presumption that faculty own nearly all of the works that they create as faculty, and (3) creating two legal prohibitions: one that prevents campus libraries from accepting gifts in which the donor claims copyright or seeks to impose analogous access and use restrictions, and another that prevents institutions from claiming copyright in the donated materials or any derivative works created with them. Together, these proposals help further a vision of higher education as a cultural and knowledge commons - a sector that exists in the public sphere to advance social welfare and responsible economic development to the greatest extent possible. [ABSTRACT FROM AUTHOR] Copyright of Missouri Law Review is the property of University of Missouri at Columbia, School of Law and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=120451636&site=ehost-live"
"A Hacker in Every History Department: An Intelligent Radical's Guide to the Digital Humanities","Potter, Claire Bond","Radical Teacher: A Socialist, Feminist, and Anti-Racist Journal on the Theory and Practice of Teaching",="19410832",,"January 1, 2014","99",,"43",,"2019871761","10.5195/rt.2014.106","Center for Critical Education, Inc.","journal article","humanities; digital humanities; research; professional identity",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2019871761&site=ehost-live"
"A Holy Baptism of Fire and Blood: The Bible and the American Civil War.","Scott, Sean A.","North Carolina Historical Review",="00292494",,="Oct2021","98","4","436","2","155413060",,"North Carolina Division of Archives & History","Article","BAPTISM; AMERICAN Civil War, 1861-1865; DIGITAL humanities; CIVIL war; HISTORY of archives; AMERICAN Revolutionary War, 1775-1783; Libraries and Archives; Archives; BIBLE",,,"https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=155413060&site=ehost-live"
"A linked open data architecture for the historical archives of the Getulio Vargas Foundation.","Rademaker, Alexandre; Oliveira, Dário; Paiva, Valeria; Higuchi, Suemi; Medeiros e Sá, Asla; Alvim, Moacyr","International Journal on Digital Libraries",="14325012",,="Apr2015","15","2-4","153","15","101760289","10.1007/s00799-015-0147-1","Springer Nature","Article","Linked data (Semantic Web); Preservation of historical libraries; Natural language processing; Open source software; Image processing; Photofinishing Laboratories (except One-Hour); One-Hour Photofinishing; Libraries and Archives; Digital humanities","Audio processing; Historical archives; NLP; Open data; Semantic Web","This paper presents an architecture for historical archives maintenance based on Open Linked Data technologies and open source distributed development model and tools. The proposed architecture is being implemented for the archives of the Centro de Pesquisa e Documentação de História Contemporânea do Brasil (Center for Research and Documentation of Brazilian Contemporary History) of the Fundação Getulio Vargas (Getulio Vargas Foundation). We discuss the benefits of this initiative and suggest ways of implementing it, as well as describing the preliminary milestones already achieved. We also present some of the possibilities for extending the accessibility and usefulness of the data archives information using semantic web technologies, natural language processing, image analysis tools, and audio-textual alignment, both in progress and planned. [ABSTRACT FROM AUTHOR] Copyright of International Journal on Digital Libraries is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=101760289&site=ehost-live"
"A Poetic and Performative Synthesis.","Alexander, BryantKeith; Jones, Omi Osun JoniL.","Text & Performance Quarterly",="10462937",,="Jul2013","33","3","251","7","87568328","10.1080/10462937.2013.794469","Taylor & Francis Ltd","Article","PERFORMANCE theory; PERFORMANCE; EDUCATION; EMPLOYEE rights; DIGITAL humanities; CONFERENCES & conventions; Convention and Trade Show Organizers; All Other Miscellaneous Schools and Instruction; Administration of Education Programs; Educational Support Services",,"The article looks at the insights on performance studies presented during the 2012 Economied and Ethics of Performance conference at Villanova University in Pennsylvania. It assesses each of the topics presented and says that it reminded participants of the power of performance studies beyond the academy as seen in Mickey Faust's work in ""labor rights,"" Michael LeVan's discussion on establishing global proximity through digital humanities and Donna Nudd's Radical inclusions.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=87568328&site=ehost-live"
"A Probe into Patentometrics in Digital Humanities.","Hao, Guirong; Ye, Fred Y.","Library Trends",="00242594",,="Summer2020","69","1","N.PAG","1","147348064","10.1353/lib.2020.0034","Johns Hopkins University Press","Article","Citation analysis; Geographic information systems; Offices of Lawyers; All Other Legal Services; Digital humanities; Patent applications; Virtual reality; Patents",,"Digital humanities (DH) is an interdisciplinary field that is improving humanities research supported by computer, network, and multimedia technologies. The development of DH requires strong technological systems, mostly related to patents. We apply patentometrics to probe into the related patent issues in DH and discusses the development of patent technologies such as virtual reality, ontology, 3D modeling, text mining, and GIS that affect the research of DH. We find that the international research on DH is not closely related to patent technology through citation analysis, though it shares disciplinary characteristics. The fluctuations of patent applications such as virtual reality, ontology, 3D modeling, text mining, and GIS are consistent with the trends of DH research. We reveal that the application of a related technical patent could promote the research of DH. [ABSTRACT FROM AUTHOR] Copyright of Library Trends is the property of Johns Hopkins University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=147348064&site=ehost-live"
"A Spatial Analysis of Selected Art: a GIScience-Humanities Interface.","Griffith, Daniel A.","International Journal of Humanities & Arts Computing: A Journal of Digital Humanities",="17538548",,="Mar2020","14","1/2","154","22","141931785","10.3366/ijhac.2020.0250","Edinburgh University Press","Article","GEOGRAPHIC information systems; DIGITAL humanities; MATRICES (Mathematics); AUTOCORRELATION (Statistics); CARTOGRAPHY; Geophysical Surveying and Mapping Services","eigenvectors; famous paintings; map pattern; Moran eigenvector spatial filtering; satellite images; spatial autocorrelation; Susie Rosmarin","This exposition presents little-known connections between geography, through geographic information systems (GISs), mathematics, through matrix algebra, and art, through paintings and images, adding to the geo-humanities, spatial humanities, and humanistic mathematics literature. To this end, findings summarized for spatial statistical analyses of selected Susie Rosmarin paintings (which are reminiscent of visualizations of certain mathematical quantities known as eigenvectors), remotely sensed images that have appeared in art exhibits, and selected famous paintings by historically renowned artists reveal that spatial autocorrelation constitutes a fundamental element of art. These analyses extend the tradition of visualizing fractals as art, and interfacing cartography with art. This paper promotes analytical art, and establishes additional commonalities for GIScience, mathematics, and art. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Humanities & Arts Computing: A Journal of Digital Humanities is the property of Edinburgh University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=141931785&site=ehost-live"
"A subject librarian's pedagogical path in the digital humanities.","Mourer, Marissa","College & Undergraduate Libraries",="10691316",,="Apr-Dec2017","24","2-4","501","15","126288247","10.1080/10691316.2017.1336506","Taylor & Francis Ltd","Article","Academic librarians; Universities & colleges; Education; Administration of Education Programs; Educational Support Services; All Other Miscellaneous Schools and Instruction; Colleges, Universities, and Professional Schools; Digital humanities; English literature","Academic libraries; digital humanities; digital humanities pedagogy; information literacy instruction; subject librarian","As academic libraries evolve with digital humanities scholarship, subject librarians may find themselves teaching in this new pedagogical landscape before colleagues with digital humanities expertise arrive on their campus. The author provides a practical pedagogical path specifically for the subject librarian for planning, providing instruction, and evaluating a course with a significant digital humanities component. An examination of an English course is offered in addition to a detailed background of the challenges and opportunities encountered in revisiting information literacy pedagogy through student-led projects in digital humanities. [ABSTRACT FROM AUTHOR] Copyright of College & Undergraduate Libraries is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=126288247&site=ehost-live"
"A Virtual Grand Tour of Europe: Bringing Students, Faculty, Donors and Local Citizens Together in an International Humanities Experience with Trajan's Column.","Husarik, Stephen","Interdisciplinary Humanities",="10566139",,="Spring2014","31","1","105","11","97938649",,"Humanities Education & Research Association","Article","ONLINE education; DIGITAL humanities; TRAVEL research; COMPUTER assisted instruction; EUROPE",,"The article offers information on a Grand Tour of Europe presented using Trajan's Column as a theme for research, online instruction and public presentation. It discusses the author's experience combining humanities travel research and online course management systems. It also mentions the author's presentation entitled ""Adventures in China: The Dragon Awakes"" in which students followed the author's travels throughout China for a month in the Discussion area of Blackboard.","https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=97938649&site=ehost-live"
